Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:56:47,27-11-2024 17:56:52,5.009s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:56:52,27-11-2024 17:56:52,0.054s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:56:52,27-11-2024 17:56:55,3.016s,PASSED
closeBrowser(),Chrome 131.0.0.0,Close browser,,27-11-2024 17:56:55,27-11-2024 17:56:56,0.190s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,"As an unauthenticated user, entering valid and invalid keys to search related products
",S002; TS001-Search Product; Search Box,27-11-2024 17:56:56,27-11-2024 17:57:58,1m - 2.575s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 17:56:56,27-11-2024 17:56:56,0.001s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,27-11-2024 17:56:56,27-11-2024 17:57:02,6.411s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,27-11-2024 17:57:02,27-11-2024 17:57:02,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,27-11-2024 17:57:02,27-11-2024 17:57:02,0.061s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:57:02,27-11-2024 17:57:06,4.002s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,27-11-2024 17:57:06,27-11-2024 17:57:06,0.040s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:57:06,27-11-2024 17:57:16,10.014s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:57:16,27-11-2024 17:57:16,0.288s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 17:57:16,27-11-2024 17:57:27,11.007s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 17:57:27,27-11-2024 17:57:27,0.001s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 17:57:27,27-11-2024 17:57:27,0.003s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 17:57:27,27-11-2024 17:57:27,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:57:27,27-11-2024 17:57:32,5.002s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:57:32,27-11-2024 17:57:33,0.072s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:57:33,27-11-2024 17:57:36,3.002s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 17:57:36,27-11-2024 17:57:36,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,27-11-2024 17:57:36,27-11-2024 17:57:36,0.092s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:57:36,27-11-2024 17:57:40,4.008s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,27-11-2024 17:57:40,27-11-2024 17:57:40,0.039s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:57:40,27-11-2024 17:57:50,10.003s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:57:50,27-11-2024 17:57:50,0.248s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/properties/Text/contains_text"", [""text"":""Không tìm thấy kết quả phù hợp!""]), 10))",Chrome 131.0.0.0,"The system shows the message: ""Không tìm thấy kết quả phù hợp!"" when entering invalid search keywords",,27-11-2024 17:57:50,27-11-2024 17:57:50,0.026s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:57:50,27-11-2024 17:57:55,5.008s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:57:55,27-11-2024 17:57:55,0.051s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:57:55,27-11-2024 17:57:58,3.004s,PASSED
closeBrowser(),Chrome 131.0.0.0,Close browser,,27-11-2024 17:57:58,27-11-2024 17:57:58,0.178s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,"As an unauthenticated user, entering valid and invalid keys to search related products
",S002; TS001-Search Product; Search Box,27-11-2024 17:57:58,27-11-2024 17:58:50,51.858s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 17:57:58,27-11-2024 17:57:58,0.001s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,27-11-2024 17:57:58,27-11-2024 17:58:05,6.712s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,27-11-2024 17:58:05,27-11-2024 17:58:05,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,27-11-2024 17:58:05,27-11-2024 17:58:05,0.060s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:58:05,27-11-2024 17:58:09,4.003s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,27-11-2024 17:58:09,27-11-2024 17:58:09,0.036s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:58:09,27-11-2024 17:58:19,10.005s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:58:19,27-11-2024 17:58:19,0.217s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 17:58:19,27-11-2024 17:58:19,0.017s,PASSED
