Water Control Zone	River	Station	Dates	Sample No	5-Day Biochemical Oxygen Demand (mg/L)	Aluminium (?g/L)	Ammonia-Nitrogen (mg/L)	Anionic Surfactants (as Manoxol OT) (mg/L)	Antimony (?g/L)	Arsenic (?g/L)	Barium (?g/L)	Beryllium (?g/L)	Boron (?g/L)	Cadmium (?g/L)	Chemical Oxygen Demand (mg/L)	Chloride (mg/L)	Chlorophyll-?? (mg/m³)	Chromium (?g/L)	Conductivity (?S/cm)	Copper (?g/L)	Cyanide (mg/L)	Dissolved Oxygen (%saturation)	Dissolved Oxygen (mg/L)	Faecal Coliforms (counts/100mL)	Flow (m³/s)	Fluoride (mg/L)	Free Hydrogen Sulphide (mg/L)	Iron (?g/L)	Lead (?g/L)	Manganese (?g/L)	Mercury (?g/L)	Molybdenum (?g/L)	Nickel (?g/L)	Nitrate-Nitrogen (mg/L)	Nitrite-Nitrogen (mg/L)	Oil and Grease (mg/L)	Orthophosphate Phosphorus (mg/L)	pH	Phaeopigment (mg/m³)	Salinity (psu)	Silica (as SiO?) (mg/L)	Silver (?g/L)	Sulphide (mg/L)	Suspended solids (mg/L)	Thallium (?g/L)	Total Kjeldahl Nitrogen (mg/L)	Total Organic Carbon (mg/L)	Total Phosphorus (mg/L)	Total Solids (mg/L)	Total Volatile Solids (mg/L)	Turbidity (NTU)	Vanadium (?g/L)	Water Temperature (°C)	Zinc (?g/L)	??. ????????  (counts/100mL)
Victoria Harbour	Kai Tak River	KN2	4/24/2023	1	3.7	<50	1	<0.05	<1	2	16	<1	1800	<0.1	21	7400	1.4	2	21434	2	<0.01	71	5.3	46000	null	0.7	<0.01	120	<1	100	<1	4	8	2.6	1	<0.5	0.96	7.3	1.5	12.5	7.9	<1	<0.02	4.4	<1	2.1	10	1.2	21000	6400	4.2	3	26.5	<10	20000
Victoria Harbour	Kai Tak River	KN2	5/18/2023	1	3.6	<50	1.1	<0.05	<1	2	14	<1	1500	<0.1	32	6400	1.1	2	21512	3	<0.01	69	5.1	59000	null	0.6	<0.01	50	<1	90	<1	5	7	2.2	0.81	<0.5	0.62	7.3	0.5	12.1	8.4	<1	<0.02	4.8	<1	2.2	10	0.72	18000	2900	3	3	27.9	10	32000
Victoria Harbour	Kai Tak River	KN2	6/8/2023	1	3.5	<50	0.95	0.29	<1	1	15	<1	860	<0.1	40	4500	1	1	14670	2	<0.01	78	5.7	800000	null	0.4	<0.01	<50	<1	80	<1	4	4	1.7	0.58	<0.5	0.6	7.4	0.9	7.7	5.5	<1	<0.02	5.3	<1	2	7	0.71	9800	1700	6	<2	30	20	180000
Victoria Harbour	Kai Tak River	KN2	7/21/2023	1	7.4	<50	0.54	<0.05	<1	1	21	<1	1500	<0.1	46	7400	0.2	1	21997	2	<0.01	86	6	100000	null	0.7	<0.01	50	<1	120	<1	5	9	4	0.32	<0.5	0.41	7.5	<0.2	11.5	9.1	<1	<0.02	2.6	<1	1.2	8	0.44	16000	2900	2.4	<2	31.5	10	23000
Victoria Harbour	Kai Tak River	KN2	8/4/2023	1	4.6	<50	1.3	<0.05	<1	2	18	<1	1500	<0.1	25	6100	2.8	<1	21687	2	<0.01	90	6.2	30000	null	0.6	<0.01	50	<1	120	<1	5	7	2.9	0.59	<0.5	0.73	7.3	1	11.4	9.2	<1	<0.02	3.5	<1	2.1	9	0.85	16000	3200	2.7	<2	31.6	<10	17000
Victoria Harbour	Kai Tak River	KN2	9/20/2023	1	5.4	<50	4.7	<0.05	<1	1	18	<1	810	<0.1	20	3800	0.5	<1	13630	1	<0.01	74	5.3	560000	null	0.6	<0.01	<50	<1	140	1	4	5	2.4	0.86	<0.5	1.7	7.2	0.5	7	11	<1	<0.02	4.3	<1	6.2	8	1.8	11000	1900	2.1	<2	30.5	20	250000
Victoria Harbour	Kai Tak River	KN2	10/11/2023	1	3.1	<50	2	<0.05	<1	1	22	<1	1100	<0.1	12	4800	0.3	<1	15335	2	<0.01	83	6.2	480000	null	0.7	<0.01	<50	<1	140	<1	5	5	3.2	0.42	<0.5	0.89	7.2	<0.2	8.3	9.6	<1	<0.02	7.5	<1	3.5	5	1.1	16000	6300	2.2	<2	28.3	20	230000
Victoria Harbour	Kai Tak River	KN2	11/3/2023	1	3.9	<50	7.2	0.09	<1	1	17	<1	1100	<0.1	38	5900	1.4	1	18203	2	<0.01	79	5.8	15000	null	0.6	<0.01	70	<1	140	<1	5	6	3.7	0.64	<0.5	2.5	7.2	0.6	10	9.6	<1	<0.02	2.5	<1	7.5	7	3.7	15000	3700	2.6	3	28.6	10	8000
Victoria Harbour	Kai Tak River	KN2	12/18/2023	1	2.3	<50	1.9	0.09	<1	1	17	<1	1600	<0.1	26	9100	1.3	<1	20598	2	<0.01	83	6.6	63000	null	0.7	<0.01	60	<1	90	<1	5	10	4.5	0.72	<0.5	1.3	7.2	<0.2	12.8	6.5	<1	<0.02	1.6	<1	2.4	6	1.7	19000	3800	1.7	<2	23.2	20	5800
Victoria Harbour	Kai Tak River	KN3	1/26/2023	1	3.5	<50	2.1	0.07	<1	1	19	<1	810	<0.1	28	7500	0.5	<1	15608	2	<0.01	75	6.4	28000	null	0.6	<0.01	<50	<1	100	<1	4	7	4.3	1.6	<0.5	1.6	7.2	0.7	10.2	7.9	<1	<0.02	4.4	<1	3.6	9	1.9	15000	2500	2.1	2	19.9	20	14000
Victoria Harbour	Kai Tak River	KN3	2/15/2023	1	4.4	<50	4.7	0.07	<1	1	17	<1	1600	<0.1	47	8800	1.3	1	18836	2	<0.01	79	6.4	61000	null	0.7	<0.01	<50	<1	100	<1	5	8	3.3	1.4	<0.5	0.58	7.3	1.1	11.8	7	<1	<0.02	4.7	<1	5.6	10	0.95	19000	3100	3.2	<2	22.4	<10	25000
Victoria Harbour	Kai Tak River	KN3	3/8/2023	1	5.2	<50	6.4	0.09	<1	1	17	<1	1500	<0.1	39	7100	1.5	1	18706	2	<0.01	84	6.6	25000	null	0.6	<0.01	60	<1	110	<1	5	7	1.9	1.4	<0.5	0.5	7.4	0.2	11.2	7.5	<1	<0.02	9	<1	7.3	10	0.69	17000	3200	4	2	24.4	10	10000
Victoria Harbour	Kai Tak River	KN3	4/24/2023	1	4.2	<50	0.86	0.13	<1	2	16	<1	1800	<0.1	42	7300	1.4	2	21484	3	<0.01	76	5.7	26000	null	0.6	<0.01	110	<1	90	<1	4	8	2.6	1	<0.5	0.91	7.3	1.2	12.5	7.9	<1	<0.02	6.7	<1	1.9	9	1.1	22000	7400	4.6	3	26.4	10	16000
Victoria Harbour	Kai Tak River	KN3	5/18/2023	1	4.2	<50	1	<0.05	<1	2	14	<1	1400	<0.1	32	6500	1.5	2	21051	3	<0.01	74	5.5	72000	null	0.6	<0.01	<50	<1	90	<1	5	8	2.2	0.8	<0.5	0.62	7.3	0.7	11.9	8.6	<1	<0.02	8.3	<1	2.1	10	0.74	16000	2700	3.5	3	27.9	10	35000
Victoria Harbour	Kai Tak River	KN3	6/8/2023	1	4.5	<50	1	0.08	<1	1	16	<1	1000	<0.1	38	5200	1.1	<1	16666	2	<0.01	78	5.6	320000	null	0.5	<0.01	<50	<1	80	<1	4	5	2.1	0.71	<0.5	0.74	7.3	1.5	8.8	5.6	<1	<0.02	8.3	<1	1.8	7	0.83	12000	2100	4.5	<2	29.8	20	130000
Victoria Harbour	Kai Tak River	KN3	7/21/2023	1	8.1	<50	0.56	<0.05	<1	1	20	<1	1500	<0.1	54	7600	1	<1	22572	2	<0.01	87	6.1	63000	null	0.7	<0.01	<50	<1	120	<1	5	8	4.2	0.31	<0.5	0.4	7.4	<0.2	12	8.7	<1	<0.02	4.2	<1	1.3	8	0.43	17000	3000	3.2	<2	30.9	10	22000
Victoria Harbour	Kai Tak River	KN3	8/4/2023	1	4.8	<50	1.2	<0.05	<1	1	18	<1	1500	<0.1	29	6100	2.4	<1	21267	2	<0.01	89	6.2	42000	null	0.6	<0.01	60	<1	110	<1	5	8	3	0.58	<0.5	0.66	7.3	<0.2	11.2	9.4	<1	<0.02	4.5	<1	2	10	0.78	15000	3000	3.5	<2	31.4	10	26000
Victoria Harbour	Kai Tak River	KN3	9/20/2023	1	9.2	<50	5.1	<0.05	<1	1	17	<1	760	<0.1	26	3700	1.1	<1	13198	2	<0.01	80	5.8	1000000	null	0.6	<0.01	<50	<1	130	<1	4	5	2.4	0.88	<0.5	1.6	7.2	0.5	6.8	12	<1	<0.02	5.1	<1	6.7	10	1.7	8700	1500	3.1	<2	30	20	380000
Victoria Harbour	Kai Tak River	KN3	10/11/2023	1	4.3	<50	2	<0.05	<1	<1	22	<1	830	<0.1	25	4000	0.4	<1	13060	3	<0.01	90	6.8	470000	null	0.7	<0.01	<50	<1	130	<1	5	4	3.5	0.6	<0.5	1	7.2	<0.2	7	10	<1	<0.02	20	<1	3.5	5	1.2	14000	5500	8.1	<2	28	20	250000
Victoria Harbour	Kai Tak River	KN3	11/3/2023	1	5.7	<50	7.7	0.12	<1	1	18	<1	1100	<0.1	38	5300	1.7	1	16918	2	<0.01	85	6.3	22000	null	0.6	<0.01	80	<1	140	<1	4	6	3.5	0.71	<0.5	2.4	7.3	1	9.2	9.3	<1	<0.02	3.5	<1	11	7	3.8	13000	2300	2.6	3	28.4	10	12000
Victoria Harbour	Kai Tak River	KN3	12/18/2023	1	3.7	<50	1.6	0.06	<1	1	17	<1	1600	<0.1	19	9100	2.3	<1	20805	2	<0.01	86	6.9	80000	null	0.7	<0.01	70	<1	110	<1	5	10	4.7	0.77	<0.5	1.4	7.2	<0.2	13.2	6.3	<1	<0.02	4.6	<1	2.2	6	1.5	20000	4000	4	<2	22.5	30	8000
Victoria Harbour	Kai Tak River	KN4	1/26/2023	1	14	<50	1.6	0.07	<1	1	17	<1	1100	<0.1	45	7000	1.2	<1	16579	2	<0.01	89	7.5	30000	null	0.6	<0.01	<50	<1	90	<1	4	7	4.4	1.5	<0.5	1.3	7.2	1.8	10.7	7.4	<1	<0.02	7.8	<1	3.2	8	1.6	15000	2600	2.8	2	20.6	20	16000
Victoria Harbour	Kai Tak River	KN4	2/15/2023	1	6.8	<50	3.3	0.06	<1	1	17	<1	1500	<0.1	20	8700	2.1	1	19162	2	<0.01	83	6.6	16000	null	0.7	<0.01	50	<1	100	<1	4	8	3.5	1.5	<0.5	0.54	7.3	2.7	11.9	6.9	<1	<0.02	7.7	<1	4.8	9	0.95	18000	2800	4.7	<2	23	10	8000
Victoria Harbour	Kai Tak River	KN4	3/8/2023	1	8.3	<50	5	0.11	<1	1	17	<1	1400	<0.1	26	8000	3.6	<1	17224	2	<0.01	88	6.9	20000	null	0.6	<0.01	<50	<1	100	<1	4	6	2.2	1.8	<0.5	0.5	7.3	3.7	10.3	7.7	<1	<0.02	13	<1	6.1	8	0.64	15000	2000	5	2	24.4	10	8300
Victoria Harbour	Kai Tak River	KN4	4/24/2023	1	4.9	<50	0.65		<1	1	17	<1	1500	<0.1	42	7000	1.8	2	18863	2	<0.01	88	6.6	17000	null	0.6	<0.01	110	<1	90	<1	4	7	3	0.74	<0.5	0.82	7.2	2.5	10.9	8.2	<1	0.03	10	<1	1.7	9	1	19000	5700	4	2	26.3	10	6000
Victoria Harbour	Kai Tak River	KN4	5/18/2023	1	4.8	<50	0.78	<0.05	<1	2	14	<1	1100	<0.1	48	5100	2.3	2	17326	3	<0.01	86	6.4	54000	null	0.6	<0.01	60	<1	90	<1	4	7	2.3	0.63	<0.5	0.63	7.3	1.5	9.5	9.3	<1	<0.02	9	<1	2.1	10	0.79	13000	2000	4.7	2	28.2	10	28000
Victoria Harbour	Kai Tak River	KN4	6/8/2023	1	20	<50	0.85	0.08	<1	1	19	<1	1100	<0.1	30	5600	2.1	<1	17669	2	<0.01	88	6.3	160000	null	0.6	<0.01	<50	<1	90	<1	4	5	3.6	0.74	<0.5	0.86	7.2	2	9.3	8.2	<1	<0.02	9.8	<1	1.9	9	1	13000	2500	3	<2	30.3	10	50000
Victoria Harbour	Kai Tak River	KN4	7/21/2023	1	8.4	<50	0.41	<0.05	<1	1	20	<1	1300	<0.1	66	6500	0.9	<1	20552	2	<0.01	96	6.7	49000	null	0.7	<0.01	<50	<1	130	<1	4	8	4.5	0.23	<0.5	0.36	7.4	0.4	10.8	9.1	<1	<0.02	8.3	<1	1.7	10	0.53	15000	2400	4.3	<2	31.4	10	14000
Victoria Harbour	Kai Tak River	KN4	8/4/2023	1	4.4	<50	0.84	<0.05	<1	1	18	<1	1200	<0.1	38	5000	1.6	<1	18772	2	<0.01	95	6.6	40000	null	0.6	<0.01	60	<1	100	<1	4	7	3.5	0.41	<0.5	0.58	7.2	<0.2	9.7	9.8	<1	<0.02	10	<1	1.9	10	0.73	12000	2500	4.6	<2	31.7	10	22000
Victoria Harbour	Kai Tak River	KN4	9/20/2023	1	12	<50	5.8	<0.05	<1	1	18	<1	730	<0.1	22	3600	1	<1	12222	2	<0.01	85	6.2	370000	null	0.6	<0.01	<50	<1	130	<1	4	5	2.3	0.67	<0.5	1.1	7.2	<0.2	6.3	12	<1	<0.02	11	<1	7.5	8	1.5	9500	1700	4.7	<2	30	10	180000
Victoria Harbour	Kai Tak River	KN4	10/11/2023	1	5.3	<50	1.5	<0.05	<1	<1	22	<1	730	<0.1	14	3200	0.4	<1	11278	1	<0.01	92	7	240000	null	0.7	<0.01	<50	<1	120	<1	5	4	3.8	0.5	<0.5	0.75	7.3	<0.2	6	10	<1	<0.02	24	<1	2.7	5	0.84	9100	2400	5.7	<2	27.9	20	150000
Victoria Harbour	Kai Tak River	KN4	11/3/2023	1	7.1	<50	7.1	0.12	<1	1	19	<1	1100	<0.1	45	4700	2.8	1	15087	2	<0.01	90	6.7	16000	null	0.5	<0.01	100	<1	140	<1	4	6	4.3	0.67	<0.5	1.8	7.3	0.3	8.1	9.3	<1	<0.02	11	<1	8.3	8	2.7	12000	2100	7.1	3	28.5	20	11000
Victoria Harbour	Kai Tak River	KN4	12/18/2023	1	2.1	<50	1.7	0.08	<1	1	18	<1	1500	<0.1	19	8600	1.4	<1	20382	3	<0.01	73	5.8	94000	null	0.7	<0.01	70	<1	110	<1	5	9	4.9	0.78	<0.5	1.3	7	<0.2	12.7	6.6	<1	<0.02	1.6	<1	2.1	6	1.5	20000	4100	1.6	<2	23.2	20	5600
Victoria Harbour	Kai Tak River	KN5	1/26/2023	1	7.3	<50	1.3	0.05	<1	1	17	<1	910	<0.1	36	6300	2.5	<1	15234	2	<0.01	95	8	20000	9.435	0.6	<0.01	<50	<1	90	<1	4	7	4.6	1.4	<0.5	1.2	7.2	2.5	9.7	7.6	<1	<0.02	12	<1	3.5	10	1.6	15000	2600	4.4	<2	21.1	20	8000
Victoria Harbour	Kai Tak River	KN5	2/15/2023	1	7.7	<50	3	0.06	<1	1	18	<1	1200	<0.1	27	6800	2.1	1	15688	2	<0.01	94	7.6	9000	22.95	0.6	<0.01	80	<1	110	<1	4	8	4	1.6	<0.5	0.56	7.3	3.2	9.6	7.5	<1	<0.02	12	<1	5	9	0.98	15000	2400	4.3	<2	23	10	6000
Victoria Harbour	Kai Tak River	KN5	3/8/2023	1	9.4	<50	4.4	0.05	<1	1	17	<1	1300	<0.1	49	6600	1	1	16500	2	<0.01	94	7.4	26000	11.985	0.6	<0.01	50	<1	100	<1	4	7	2.4	2	<0.5	0.48	7.3	0.6	9.7	8	<1	<0.02	16	<1	5.8	10	0.69	14000	2500	4.9	<2	24.7	10	8000
Victoria Harbour	Kai Tak River	KN5	4/24/2023	1	5.6	<50	0.51	<0.05	<1	1	18	<1	1500	<0.1	42	6200	2.8	2	17553	2	<0.01	89	6.7	14000	10.795	0.6	<0.01	130	<1	90	<1	4	8	3	0.86	<0.5	0.79	7.2	2.6	10	8.6	<1	<0.02	11	<1	1.9	10	1	17000	4500	4	2	26.8	10	3300
Victoria Harbour	Kai Tak River	KN5	5/18/2023	1	5.6	<50	0.65	0.05	<1	1	14	<1	890	<0.1	46	4300	1.9	2	14319	4	<0.01	96	7.1	67000	12.75	0.6	<0.01	60	<1	80	<1	4	7	2.2	0.66	<0.5	0.61	7.3	1.4	7.7	9.9	<1	<0.02	10	<1	2.3	10	0.85	11000	1900	3	<2	28.7	10	38000
Victoria Harbour	Kai Tak River	KN5	6/8/2023	1	9.9	<50	0.75	0.24	<1	1	19	<1	1100	<0.1	55	5300	2.4	<1	16981	2	<0.01	90	6.4	100000	11.662	0.6	<0.01	<50	<1	90	<1	4	6	3.7	0.79	<0.5	0.88	7.2	2.1	9	8.3	<1	<0.02	11	<1	2.1	10	1.1	12000	2100	3.4	<2	30.2	20	42000
Victoria Harbour	Kai Tak River	KN5	7/21/2023	1	2.9	<50	0.35	<0.05	<1	1	20	<1	1100	<0.1	27	5500	1.3	1	17878	2	<0.01	103	7.2	34000	16.184	0.6	<0.01	50	<1	100	<1	4	8	4.8	0.13	<0.5	0.33	7.4	0.9	9.1	9.7	<1	<0.02	10	<1	1.1	10	0.51	12000	2100	3.7	<2	31.9	10	13000
Victoria Harbour	Kai Tak River	KN5	8/4/2023	1	4.5	<50	0.71	<0.05	<1	1	20	<1	1100	<0.1	29	4700	3.1	<1	17084	1	<0.01	99	6.9	34000	8.84	0.6	<0.01	50	<1	110	<1	4	7	3.6	0.46	<0.5	0.57	7.3	<0.2	8.7	11	<1	<0.02	7.8	<1	1.7	8	0.74	11000	2100	3.7	<2	31.9	10	13000
Victoria Harbour	Kai Tak River	KN5	9/20/2023	1	15	<50	5.5	<0.05	<1	1	18	<1	600	<0.1	22	2900	0.8	<1	11120	1	<0.01	93	6.8	380000	11.22	0.6	<0.01	<50	<1	120	<1	3	5	2.5	0.8	<0.5	1.1	7.2	1.1	5.7	12	<1	<0.02	10	<1	7	9	1.4	9100	1700	6	<2	30.1	10	190000
Victoria Harbour	Kai Tak River	KN5	10/11/2023	1	5.6	<50	1.3	<0.05	<1	<1	22	<1	740	<0.1	18	3200	0.6	<1	11330	1	<0.01	97	7.3	160000	12.665	0.7	<0.01	<50	<1	110	<1	5	5	4.3	0.55	<0.5	0.78	7.2	<0.2	6	10	<1	<0.02	39	<1	2.8	5	0.94	9000	2300	3.3	<2	28	20	130000
Victoria Harbour	Kai Tak River	KN5	11/3/2023	1	8.9	<50	6.2	0.1	<1	1	18	<1	970	<0.1	54	4300	2.2	1	14489	2	<0.01	95	7	10000	18.207	0.5	<0.01	80	<1	110	<1	4	5	4.5	0.73	<0.5	1.4	7.2	2.2	7.8	9.4	<1	<0.02	7.6	<1	7.2	9	2.2	11000	2000	3.1	2	28.7	10	4100
Victoria Harbour	Kai Tak River	KN5	12/18/2023	1	6	<50	0.85	<0.05	<1	1	18	<1	1300	<0.1	36	6900	1.5	1	16635	2	<0.01	94	7.6	10000	5.984	0.7	<0.01	70	<1	80	<1	4	9	5.4	0.52	<0.5	1.2	7	<0.2	10.1	7.3	<1	<0.02	8.7	<1	8.3	6	6.4	15000	3400	4.3	<2	23.5	30	3500
Victoria Harbour	Kai Tak River	KN7	1/26/2023	1	7.3	<50	1.2	<0.05	<1	1	18	<1	980	<0.1	45	6600	0.4	<1	15204	2	<0.01	95	8	9300	2.31	0.6	<0.01	<50	<1	90	<1	4	7	4.4	1.4	<0.5	1.1	7.1	0.6	9.6	7.8	<1	<0.02	12	<1	2.6	10	1.4	14000	2400	2.9	<2	21.3	30	6200
Victoria Harbour	Kai Tak River	KN7	2/15/2023	1	9.3	<50	2.9	0.07	<1	1	18	<1	1000	<0.1	30	7000	1	1	15682	2	<0.01	96	7.7	6000	4.235	0.6	<0.01	60	<1	130	<1	4	8	4	1.5	<0.5	0.56	7.2	2.8	9.5	7.7	<1	<0.02	7.6	<1	4.7	9	0.87	14000	2300	2.8	<2	23.3	10	3500
Victoria Harbour	Kai Tak River	KN7	3/8/2023	1	7.6	<50	4.2	0.11	<1	1	17	<1	1200	<0.1	18	7000	0.5	1	16216	2	<0.01	92	7.3	18000	2.008	0.6	<0.01	60	<1	100	<1	4	7	2.4	1.9	<0.5	0.45	7.2	<0.2	9.7	8.1	<1	<0.02	12	<1	5.7	8	0.68	14000	2400	4.9	<2	24.2	10	5600
Victoria Harbour	Kai Tak River	KN7	4/24/2023	1	5.7	<50	0.46	<0.05	<1	1	17	<1	1400	<0.1	25	5600	2.2	1	17485	1	<0.01	95	7.2	13000	5.805	0.6	<0.01	90	<1	90	<1	3	7	3.4	0.8	<0.5	0.82	7.1	2.5	9.9	8.7	<1	<0.02	12	<1	2.1	9	1	18000	6100	4.2	2	26.8	<10	5700
Victoria Harbour	Kai Tak River	KN7	5/18/2023	1	5.8	<50	0.65	0.05	<1	1	15	<1	880	<0.1	38	4200	1.8	2	14198	3	<0.01	96	7.1	280000	4.08	0.6	<0.01	70	<1	80	<1	4	7	2.2	0.68	<0.5	0.59	7.2	0.7	7.6	10	<1	<0.02	7.8	<1	2.2	9	0.81	11000	1900	2.6	<2	28.6	10	180000
Victoria Harbour	Kai Tak River	KN7	6/8/2023	1	5.5	<50	0.81	0.1	<1	1	18	<1	1100	<0.1	55	5600	2.1	<1	17173	2	<0.01	95	6.8	190000	2.25	0.6	<0.01	<50	<1	90	<1	4	5	3.8	0.73	<0.5	0.86	7.2	1.8	9.1	8.1	<1	<0.02	9.1	<1	2.2	10	1.1	13000	2300	2.9	<2	30.2	20	110000
Victoria Harbour	Kai Tak River	KN7	7/21/2023	1	3.7	<50	0.32	<0.05	<1	1	21	<1	1100	<0.1	50	5400	0.9	<1	17605	2	<0.01	98	6.9	8600	2.4	0.6	<0.01	<50	<1	100	<1	4	9	4.6	0.12	<0.5	0.34	7.3	0.5	9.1	9.7	<1	<0.02	7.8	<1	1.5	10	0.53	12000	2100	4.3	<2	31.5	10	3500
Victoria Harbour	Kai Tak River	KN7	8/4/2023	1	4	<50	0.71	<0.05	<1	1	18	<1	1100	<0.1	29	5200	1.2	<1	17369	1	<0.01	96	6.7	8400	4.68	0.6	<0.01	<50	<1	110	<1	4	7	3.9	0.44	<0.5	0.59	7.1	<0.2	8.9	10	<1	<0.02	7	<1	1.8	7	0.77	13000	2500	2.8	<2	31.8	10	4200
Victoria Harbour	Kai Tak River	KN7	9/20/2023	1	15	<50	6	<0.05	<1	1	18	<1	700	<0.1	24	3400	0.5	<1	11861	1	<0.01	97	7	7300	2.66	0.6	<0.01	<50	<1	120	<1	4	5	2.7	0.82	<0.5	1.3	7.1	0.6	6.1	12	<1	<0.02	7	<1	7.5	9	1.5	8600	1500	2.5	<2	30.2	10	2700
Victoria Harbour	Kai Tak River	KN7	10/11/2023	1	4.9	<50	1.3	<0.05	<1	<1	20	<1	760	<0.1	25	3400	0.5	<1	11850	2	<0.01	98	7.4	19000	2.46	0.7	<0.01	<50	<1	140	<1	5	5	4.5	0.59	<0.5	0.82	7.2	<0.2	6.3	10	<1	<0.02	19	<1	2.9	6	0.91	10000	2800	1.2	<2	28.3	20	8000
Victoria Harbour	Kai Tak River	KN7	11/3/2023	1	9.9	<50	5.7	0.09	<1	1	19	<1	970	<0.1	44	4300	3.8	1	14320	2	<0.01	96	7.1	3900	3.75	0.5	<0.01	90	<1	110	<1	4	6	4.6	0.63	<0.5	1.1	7.1	<0.2	7.7	9.3	<1	<0.02	12	<1	6.7	8	1.9	11000	1900	3.6	2	28.7	10	2300
Victoria Harbour	Kai Tak River	KN7	12/18/2023	1	4.9	<50	0.7	0.08	<1	<1	18	<1	1300	<0.1	32	6800	1	<1	16750	2	<0.01	100	8.1	5100	3.9	0.7	<0.01	60	<1	70	<1	4	9	5.4	0.53	<0.5	1.1	6.9	<0.2	10.2	7	<1	<0.02	8.6	<1	2.1	10	1.3	15000	3400	2.7	<2	23.4	30	3100
Deep Bay	Kam Tin River	KT1	1/13/2023	1	9.5	<50	8.7	0.24	<1	<1	19	<1	<50	<0.1	23	20	6.3	<1	320	2	<0.01	29	2.5	96000	0.288	0.5	<0.01	170	<1	160	<1	<2	2	0.69	0.26	<0.5	1.1	7.3	5.9	0.2	14	<1	0.03	5.9	<1	9	10	1.3	300	130	9.3	<2	21.5	10	26000
Deep Bay	Kam Tin River	KT1	2/22/2023	1	29	<50	15	0.38	<1	1	27	<1	80	<0.1	32	140	5.8	<1	765	<1	<0.01	44	3.9	200000	0.26	0.4	<0.01	170	<1	240	<1	2	3	0.018	0.024	0.6	2.3	7.5	5.2	0.4	12	<1	0.06	31	<1	17	14	3	520	130	19.2	<2	21.1	<10	150000
Deep Bay	Kam Tin River	KT1	3/23/2023	1	25	<50	14	0.23	<1	1	19	<1	<50	<0.1	46	23	7.6	<1	418	1	<0.01	22	1.8	180000	0.348	0.5	<0.01	170	<1	180	<1	2	2	0.41	0.17	1.3	2.8	7.6	5.4	0.2	14	<1	0.06	10	<1	14	14	3.5	290	110	7	<2	25.3	<10	80000
Deep Bay	Kam Tin River	KT1	4/13/2023	1	9.1	<50	7.5	0.22	<1	1	21	<1	<50	<0.1	24	22	6	<1	636	2	<0.01	78	6.2	160000	0.277	0.5	<0.01	210	<1	80	<1	2	2	2	0.49	<0.5	0.98	7.9	3.8	0.3	14	<1	<0.02	7	<1	8.3	11	1.3	310	150	4.4	<2	26.6	<10	18000
Deep Bay	Kam Tin River	KT1	5/12/2023	1	6.3	110	5.4	0.15	<1	1	20	<1	<50	<0.1	25	23	4.9	1	418	2	<0.01	65	5.4	100000	0.297	0.5	<0.01	170	<1	80	<1	4	2	1.2	0.28	<0.5	0.63	7.9	4.2	0.2	15	<1	<0.02	7.3	<1	5.9	11	0.97	260	88	3.2	<2	24.4	10	25000
Deep Bay	Kam Tin River	KT1	6/16/2023	1	7.9	60	0.91	<0.05	<1	1	13	<1	<50	<0.1	16	<10	2.5	<1	155	3	<0.01	77	6.2	510000	3.672	<0.2	<0.01	120	<1	30	<1	2	2	0.83	0.1	<0.5	0.35	7.5	3.1	0.1	11	<1	<0.02	110	<1	1.8	7	0.45	250	120	58.2	<2	26.9	10	100000
Deep Bay	Kam Tin River	KT1	7/7/2023	1	5.2	<50	2.4	0.1	<1	1	21	<1	<50	<0.1	13	16	2.8	<1	326	2	<0.01	86	6.4	180000	0.956	0.4	<0.01	120	<1	60	<1	3	2	2.3	0.53	<0.5	0.57	7.5	3.8	0.1	19	<1	<0.02	37	<1	2.7	5	0.72	240	74	21.5	<2	30.6	<10	29000
Deep Bay	Kam Tin River	KT1	8/18/2023	1	14	<50	2.2	0.21	<1	1	12	<1	<50	<0.1	19	<10	16	<1	173	3	<0.01	67	5.2	380000	16.788	<0.2	<0.01	90	<1	40	<1	<2	1	1.6	0.17	<0.5	0.28	7.3	9.6	0.1	8.4	<1	0.03	8.8	<1	3.1	9	0.38	150	53	28.3	<2	28.3	20	110000
Deep Bay	Kam Tin River	KT1	9/15/2023	1	4.1	<50	1.4	<0.05	<1	1	19	<1	<50	<0.1	17	10	1	<1	293	2	<0.01	91	6.9	150000	1.248	0.4	<0.01	130	<1	50	<1	3	2	0.79	0.23	<0.5	0.32	7.5	0.7	0.1	19	<1	<0.02	11	<1	2.5	5	0.4	180	110	7	<2	29.7	<10	8000
Deep Bay	Kam Tin River	KT1	10/20/2023	1	9.8	<50	2.2	0.22	<1	1	20	<1	<50	<0.1	22	13	4.6	<1	279	2	<0.01	76	6.2	100000	0.357	0.4	<0.01	250	<1	80	<1	2	1	1.2	0.35	<0.5	0.48	7.4	4.4	0.1	17	<1	<0.02	18	<1	3.2	7	0.74	210	65	17.7	<2	25.9	<10	12000
Deep Bay	Kam Tin River	KT1	11/15/2023	1	5.5	<50	2.4	0.12	<1	<1	18	<1	<50	<0.1	14	19	1.7	<1	424	1	<0.01	85	7.2	100000	0.36	0.5	<0.01	120	<1	60	<1	4	2	3	0.51	<0.5	0.57	7.6	1.5	0.2	17	<1	<0.02	7.6	<1	3.5	6	0.63	200	49	2.9	<2	23.6	<10	10000
