Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.050s,PASSED
"selectedProduct.put(""size"", selectedSize)",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.000s,PASSED
logInfo(selectedProduct.toString()),Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Add first product to cart,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.197s,PASSED
delay(5),Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:18:03,5.008s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:18:03,02-01-2025 21:18:04,0.422s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,,,02-01-2025 21:18:04,02-01-2025 21:18:05,1.272s,PASSED
"common.UtilKeyword.takeScreenShot(""added_first_product"")",Chrome 131.0.0.0,,,02-01-2025 21:18:05,02-01-2025 21:18:05,0.343s,PASSED
"""============Go to the product detail page to add product to cart of the same color and size that was previously added and verify added product information in cart==========""",Chrome 131.0.0.0,,,02-01-2025 21:18:05,02-01-2025 21:18:05,0.000s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Go to product detail page,,02-01-2025 21:18:05,02-01-2025 21:18:10,4.497s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,02-01-2025 21:18:10,02-01-2025 21:18:13,3.055s,PASSED
logInfo(product.ProductDetail.getProductName()),Chrome 131.0.0.0,Check if the product in product detail page is previously added product,,02-01-2025 21:18:13,02-01-2025 21:18:13,0.130s,PASSED
"logInfo(selectedProduct.get(""name""))",Chrome 131.0.0.0,,,02-01-2025 21:18:13,02-01-2025 21:18:13,0.011s,PASSED
